"idANOMALIA";"CLASSIFICACAO_ANOMALIA_idCLASSIFICACAO_ANOMALIA";"CONTRATO_idCONTRATO";"DESCRICAO";"DATA_OCORRENCIA"
70;4;4;"Descricao da anomalia registrada";"2018-10-16"
71;4;1;"Descricao da anomalia registrada";"2017-10-28"
72;1;3;"Descricao da anomalia registrada";"2020-08-14"
73;1;5;"Descricao da anomalia registrada";"2016-02-25"
74;3;5;"Descricao da anomalia registrada";"2020-04-17"
75;3;5;"Descricao da anomalia registrada";"2017-09-26"
76;1;3;"Descricao da anomalia registrada";"2016-04-22"
77;1;4;"Descricao da anomalia registrada";"2020-12-22"
78;3;6;"Descricao da anomalia registrada";"2017-05-17"
79;3;2;"Descricao da anomalia registrada";"2016-06-04"
80;3;1;"Descricao da anomalia registrada";"2021-04-16"
81;1;2;"Descricao da anomalia registrada";"2019-12-05"
82;1;6;"Descricao da anomalia registrada";"2020-01-17"
83;1;6;"Descricao da anomalia registrada";"2019-10-22"
84;4;1;"Descricao da anomalia registrada";"2019-01-21"
85;3;6;"Descricao da anomalia registrada";"2016-01-10"
86;1;4;"Descricao da anomalia registrada";"2017-02-14"
87;4;6;"Descricao da anomalia registrada";"2016-03-20"
88;1;2;"Descricao da anomalia registrada";"2016-01-27"
89;1;4;"Descricao da anomalia registrada";"2018-06-24"
90;1;2;"Descricao da anomalia registrada";"2018-10-06"
91;1;1;"Descricao da anomalia registrada";"2021-03-30"
92;4;1;"Descricao da anomalia registrada";"2021-01-26"
93;1;4;"Descricao da anomalia registrada";"2018-01-24"
94;5;1;"Descricao da anomalia registrada";"2017-03-28"
95;3;6;"Descricao da anomalia registrada";"2019-10-03"
96;1;2;"Descricao da anomalia registrada";"2016-01-23"
97;5;2;"Descricao da anomalia registrada";"2021-06-06"
98;1;5;"Descricao da anomalia registrada";"2020-07-22"
99;1;1;"Descricao da anomalia registrada";"2017-07-04"
100;3;1;"Descricao da anomalia registrada";"2018-04-09"
101;3;6;"Descricao da anomalia registrada";"2017-09-02"
102;3;4;"Descricao da anomalia registrada";"2020-02-09"
103;4;2;"Descricao da anomalia registrada";"2018-03-30"
104;3;4;"Descricao da anomalia registrada";"2015-07-18"
105;3;3;"Descricao da anomalia registrada";"2018-12-03"
106;3;6;"Descricao da anomalia registrada";"2020-01-15"
107;4;1;"Descricao da anomalia registrada";"2017-11-12"
108;3;4;"Descricao da anomalia registrada";"2016-11-27"
109;3;4;"Descricao da anomalia registrada";"2019-05-09"
110;4;4;"Descricao da anomalia registrada";"2017-06-19"
111;3;5;"Descricao da anomalia registrada";"2019-06-21"
112;3;1;"Descricao da anomalia registrada";"2018-07-10"
113;1;3;"Descricao da anomalia registrada";"2016-01-11"
114;1;2;"Descricao da anomalia registrada";"2016-02-12"
115;1;3;"Descricao da anomalia registrada";"2016-01-03"
116;1;4;"Descricao da anomalia registrada";"2017-08-04"
117;3;1;"Descricao da anomalia registrada";"2020-08-16"
118;1;4;"Descricao da anomalia registrada";"2020-02-14"
119;1;4;"Descricao da anomalia registrada";"2016-03-14"
120;1;5;"Descricao da anomalia registrada";"2019-03-28"
121;1;1;"Descricao da anomalia registrada";"2016-12-23"
122;1;1;"Descricao da anomalia registrada";"2021-01-17"
123;5;1;"Descricao da anomalia registrada";"2016-02-26"
124;1;1;"Descricao da anomalia registrada";"2020-06-28"
125;3;1;"Descricao da anomalia registrada";"2018-06-16"
126;1;2;"Descricao da anomalia registrada";"2015-10-14"
127;3;6;"Descricao da anomalia registrada";"2019-04-30"
128;1;3;"Descricao da anomalia registrada";"2017-02-17"
129;3;6;"Descricao da anomalia registrada";"2020-11-07"
130;1;4;"Descricao da anomalia registrada";"2019-08-06"
131;1;5;"Descricao da anomalia registrada";"2019-09-29"
132;1;4;"Descricao da anomalia registrada";"2017-08-22"
133;3;4;"Descricao da anomalia registrada";"2019-09-03"
134;4;1;"Descricao da anomalia registrada";"2021-01-09"
135;1;3;"Descricao da anomalia registrada";"2020-08-10"
136;3;4;"Descricao da anomalia registrada";"2017-08-04"
137;1;2;"Descricao da anomalia registrada";"2020-09-01"
138;1;6;"Descricao da anomalia registrada";"2016-01-01"
139;1;2;"Descricao da anomalia registrada";"2018-04-13"
140;1;6;"Descricao da anomalia registrada";"2018-11-21"
141;5;5;"Descricao da anomalia registrada";"2020-06-01"
142;1;3;"Descricao da anomalia registrada";"2019-03-14"
143;3;1;"Descricao da anomalia registrada";"2020-06-09"
144;3;6;"Descricao da anomalia registrada";"2017-11-22"
145;1;5;"Descricao da anomalia registrada";"2019-05-05"
146;3;2;"Descricao da anomalia registrada";"2017-08-16"
147;1;1;"Descricao da anomalia registrada";"2019-08-14"
148;3;3;"Descricao da anomalia registrada";"2016-08-08"
149;3;1;"Descricao da anomalia registrada";"2019-07-21"
150;3;4;"Descricao da anomalia registrada";"2017-06-22"
151;1;4;"Descricao da anomalia registrada";"2019-10-20"
152;1;6;"Descricao da anomalia registrada";"2017-12-22"
153;3;6;"Descricao da anomalia registrada";"2020-09-21"
154;1;1;"Descricao da anomalia registrada";"2016-08-11"
155;1;5;"Descricao da anomalia registrada";"2020-07-06"
156;3;2;"Descricao da anomalia registrada";"2015-12-22"
157;3;5;"Descricao da anomalia registrada";"2018-11-16"
158;1;3;"Descricao da anomalia registrada";"2016-12-08"
159;1;4;"Descricao da anomalia registrada";"2020-07-08"
160;1;5;"Descricao da anomalia registrada";"2018-10-01"
161;3;2;"Descricao da anomalia registrada";"2017-08-20"
162;1;4;"Descricao da anomalia registrada";"2020-04-03"
163;1;1;"Descricao da anomalia registrada";"2019-02-07"
164;1;3;"Descricao da anomalia registrada";"2018-03-20"
165;3;5;"Descricao da anomalia registrada";"2016-03-20"
166;3;1;"Descricao da anomalia registrada";"2020-11-03"
167;3;6;"Descricao da anomalia registrada";"2017-06-19"
168;3;5;"Descricao da anomalia registrada";"2015-10-18"
169;1;6;"Descricao da anomalia registrada";"2020-10-04"
170;1;6;"Descricao da anomalia registrada";"2017-09-05"
171;3;5;"Descricao da anomalia registrada";"2016-03-08"
172;1;4;"Descricao da anomalia registrada";"2019-11-10"
173;3;2;"Descricao da anomalia registrada";"2019-07-02"
174;1;2;"Descricao da anomalia registrada";"2018-09-05"
175;4;3;"Descricao da anomalia registrada";"2018-10-05"
176;1;2;"Descricao da anomalia registrada";"2015-10-20"
177;5;2;"Descricao da anomalia registrada";"2020-11-21"
178;3;2;"Descricao da anomalia registrada";"2019-02-01"
179;3;3;"Descricao da anomalia registrada";"2016-04-03"
180;1;2;"Descricao da anomalia registrada";"2019-04-02"
181;1;3;"Descricao da anomalia registrada";"2021-05-24"
182;1;5;"Descricao da anomalia registrada";"2020-04-25"
183;1;5;"Descricao da anomalia registrada";"2015-09-29"
184;1;1;"Descricao da anomalia registrada";"2020-02-26"
185;1;2;"Descricao da anomalia registrada";"2018-12-19"
186;4;5;"Descricao da anomalia registrada";"2017-12-16"
187;4;1;"Descricao da anomalia registrada";"2016-04-25"
188;1;1;"Descricao da anomalia registrada";"2020-01-03"
189;3;6;"Descricao da anomalia registrada";"2019-01-11"
190;3;5;"Descricao da anomalia registrada";"2020-09-05"
191;1;1;"Descricao da anomalia registrada";"2020-06-07"
192;4;5;"Descricao da anomalia registrada";"2021-04-03"
193;1;3;"Descricao da anomalia registrada";"2018-04-24"
194;1;2;"Descricao da anomalia registrada";"2017-07-28"
195;1;2;"Descricao da anomalia registrada";"2019-05-01"
196;1;4;"Descricao da anomalia registrada";"2015-11-10"
197;3;4;"Descricao da anomalia registrada";"2017-08-03"
198;1;4;"Descricao da anomalia registrada";"2016-11-18"
199;5;4;"Descricao da anomalia registrada";"2018-11-22"
200;1;4;"Descricao da anomalia registrada";"2018-12-01"
201;3;3;"Descricao da anomalia registrada";"2020-01-27"
202;1;5;"Descricao da anomalia registrada";"2016-11-15"
203;1;3;"Descricao da anomalia registrada";"2016-02-25"
204;3;5;"Descricao da anomalia registrada";"2016-09-14"
205;1;5;"Descricao da anomalia registrada";"2018-10-30"
206;3;1;"Descricao da anomalia registrada";"2017-03-30"
207;1;5;"Descricao da anomalia registrada";"2017-09-06"
208;1;6;"Descricao da anomalia registrada";"2019-06-04"
209;1;4;"Descricao da anomalia registrada";"2018-11-06"
210;4;2;"Descricao da anomalia registrada";"2016-11-15"
211;1;5;"Descricao da anomalia registrada";"2019-03-22"
212;1;5;"Descricao da anomalia registrada";"2018-02-15"
213;1;1;"Descricao da anomalia registrada";"2018-02-18"
214;1;6;"Descricao da anomalia registrada";"2020-12-23"
215;1;2;"Descricao da anomalia registrada";"2016-04-17"
216;1;6;"Descricao da anomalia registrada";"2017-10-26"
217;1;3;"Descricao da anomalia registrada";"2021-02-18"
218;1;4;"Descricao da anomalia registrada";"2020-04-12"
219;1;3;"Descricao da anomalia registrada";"2017-04-02"
220;1;4;"Descricao da anomalia registrada";"2016-03-28"
221;3;5;"Descricao da anomalia registrada";"2020-02-20"
222;4;6;"Descricao da anomalia registrada";"2019-04-17"
223;4;6;"Descricao da anomalia registrada";"2019-11-24"
224;1;4;"Descricao da anomalia registrada";"2017-08-19"
225;3;4;"Descricao da anomalia registrada";"2019-07-19"
226;1;2;"Descricao da anomalia registrada";"2016-01-14"
227;3;5;"Descricao da anomalia registrada";"2018-12-28"
228;1;3;"Descricao da anomalia registrada";"2020-11-29"
229;1;3;"Descricao da anomalia registrada";"2018-01-18"
230;1;6;"Descricao da anomalia registrada";"2015-08-01"
231;3;1;"Descricao da anomalia registrada";"2017-02-13"
232;1;4;"Descricao da anomalia registrada";"2016-12-31"
233;3;3;"Descricao da anomalia registrada";"2019-03-21"
234;1;3;"Descricao da anomalia registrada";"2016-12-08"
235;3;2;"Descricao da anomalia registrada";"2021-05-04"
236;1;5;"Descricao da anomalia registrada";"2021-06-23"
237;1;6;"Descricao da anomalia registrada";"2016-05-25"
238;3;2;"Descricao da anomalia registrada";"2016-02-01"
239;1;6;"Descricao da anomalia registrada";"2020-12-31"
240;1;1;"Descricao da anomalia registrada";"2016-08-07"
241;1;2;"Descricao da anomalia registrada";"2019-01-31"
242;1;6;"Descricao da anomalia registrada";"2016-09-26"
243;1;5;"Descricao da anomalia registrada";"2016-01-19"
244;1;4;"Descricao da anomalia registrada";"2018-05-16"
245;3;1;"Descricao da anomalia registrada";"2017-04-16"
246;1;3;"Descricao da anomalia registrada";"2015-12-13"
247;1;5;"Descricao da anomalia registrada";"2017-11-09"
248;1;4;"Descricao da anomalia registrada";"2018-01-22"
249;1;6;"Descricao da anomalia registrada";"2015-09-09"
250;1;5;"Descricao da anomalia registrada";"2016-08-10"
251;4;1;"Descricao da anomalia registrada";"2020-02-07"
252;3;4;"Descricao da anomalia registrada";"2016-10-31"
253;1;5;"Descricao da anomalia registrada";"2020-10-30"
254;1;5;"Descricao da anomalia registrada";"2017-08-30"
255;1;1;"Descricao da anomalia registrada";"2018-06-25"
256;3;3;"Descricao da anomalia registrada";"2018-08-21"
257;1;3;"Descricao da anomalia registrada";"2019-09-29"
258;1;2;"Descricao da anomalia registrada";"2017-07-13"
259;4;5;"Descricao da anomalia registrada";"2019-11-24"
260;1;2;"Descricao da anomalia registrada";"2017-09-17"
261;4;3;"Descricao da anomalia registrada";"2019-09-14"
262;1;6;"Descricao da anomalia registrada";"2019-03-01"
263;3;6;"Descricao da anomalia registrada";"2019-01-13"
264;1;4;"Descricao da anomalia registrada";"2017-03-03"
265;1;6;"Descricao da anomalia registrada";"2020-12-31"
266;5;2;"Descricao da anomalia registrada";"2015-09-29"
267;4;5;"Descricao da anomalia registrada";"2016-07-04"
268;1;6;"Descricao da anomalia registrada";"2016-02-22"
269;3;1;"Descricao da anomalia registrada";"2016-02-24"
270;3;5;"Descricao da anomalia registrada";"2021-03-04"
271;1;3;"Descricao da anomalia registrada";"2021-05-14"
272;3;6;"Descricao da anomalia registrada";"2019-08-22"
273;3;3;"Descricao da anomalia registrada";"2020-01-27"
274;3;3;"Descricao da anomalia registrada";"2017-04-28"
275;1;5;"Descricao da anomalia registrada";"2015-10-25"
276;3;1;"Descricao da anomalia registrada";"2016-05-14"
277;3;6;"Descricao da anomalia registrada";"2019-08-11"
278;1;5;"Descricao da anomalia registrada";"2019-08-13"
279;1;2;"Descricao da anomalia registrada";"2016-10-02"
280;4;2;"Descricao da anomalia registrada";"2018-11-09"
281;3;5;"Descricao da anomalia registrada";"2020-11-19"
282;3;2;"Descricao da anomalia registrada";"2020-05-30"
283;1;5;"Descricao da anomalia registrada";"2019-09-04"
284;3;4;"Descricao da anomalia registrada";"2016-08-18"
285;1;2;"Descricao da anomalia registrada";"2015-11-25"
286;3;4;"Descricao da anomalia registrada";"2016-12-21"
287;1;5;"Descricao da anomalia registrada";"2018-02-01"
288;1;3;"Descricao da anomalia registrada";"2016-10-13"
289;1;4;"Descricao da anomalia registrada";"2019-07-21"
290;1;3;"Descricao da anomalia registrada";"2019-09-22"
291;1;1;"Descricao da anomalia registrada";"2017-01-23"
292;1;4;"Descricao da anomalia registrada";"2019-04-09"
293;1;4;"Descricao da anomalia registrada";"2016-09-19"
294;4;4;"Descricao da anomalia registrada";"2017-06-10"
295;4;6;"Descricao da anomalia registrada";"2020-05-06"
296;1;1;"Descricao da anomalia registrada";"2020-07-12"
297;3;4;"Descricao da anomalia registrada";"2015-11-15"
298;3;4;"Descricao da anomalia registrada";"2021-05-27"
299;3;5;"Descricao da anomalia registrada";"2019-02-20"
300;4;4;"Descricao da anomalia registrada";"2021-03-15"
301;1;4;"Descricao da anomalia registrada";"2019-07-03"
302;3;6;"Descricao da anomalia registrada";"2021-06-07"
303;5;3;"Descricao da anomalia registrada";"2019-08-07"
304;1;1;"Descricao da anomalia registrada";"2016-10-25"
305;1;1;"Descricao da anomalia registrada";"2019-06-08"
306;1;5;"Descricao da anomalia registrada";"2017-07-07"
307;1;1;"Descricao da anomalia registrada";"2016-08-23"
308;3;3;"Descricao da anomalia registrada";"2020-08-31"
309;1;1;"Descricao da anomalia registrada";"2021-02-08"
310;3;5;"Descricao da anomalia registrada";"2020-11-15"
311;3;3;"Descricao da anomalia registrada";"2018-08-12"
312;3;2;"Descricao da anomalia registrada";"2019-01-11"
313;1;6;"Descricao da anomalia registrada";"2016-07-15"
314;1;2;"Descricao da anomalia registrada";"2018-08-14"
315;1;1;"Descricao da anomalia registrada";"2019-01-14"
316;1;1;"Descricao da anomalia registrada";"2020-10-01"
317;1;2;"Descricao da anomalia registrada";"2019-10-21"
318;3;1;"Descricao da anomalia registrada";"2017-08-23"
319;3;6;"Descricao da anomalia registrada";"2015-12-03"
320;4;3;"Descricao da anomalia registrada";"2017-01-18"
321;1;1;"Descricao da anomalia registrada";"2018-04-21"
322;3;6;"Descricao da anomalia registrada";"2020-02-07"
323;1;3;"Descricao da anomalia registrada";"2020-11-23"
324;3;1;"Descricao da anomalia registrada";"2018-05-13"
325;1;1;"Descricao da anomalia registrada";"2020-06-03"
326;3;2;"Descricao da anomalia registrada";"2020-10-06"
327;1;5;"Descricao da anomalia registrada";"2018-07-11"
328;1;3;"Descricao da anomalia registrada";"2015-08-20"
329;1;1;"Descricao da anomalia registrada";"2016-11-05"
330;3;1;"Descricao da anomalia registrada";"2016-05-02"
331;3;4;"Descricao da anomalia registrada";"2017-12-19"
332;1;4;"Descricao da anomalia registrada";"2019-02-13"
333;3;5;"Descricao da anomalia registrada";"2016-10-15"
334;3;3;"Descricao da anomalia registrada";"2016-04-17"
335;3;3;"Descricao da anomalia registrada";"2021-03-25"
336;1;2;"Descricao da anomalia registrada";"2016-03-24"
337;3;5;"Descricao da anomalia registrada";"2017-12-19"
338;4;4;"Descricao da anomalia registrada";"2020-02-24"
339;1;2;"Descricao da anomalia registrada";"2015-12-06"
340;4;1;"Descricao da anomalia registrada";"2020-07-11"
341;4;5;"Descricao da anomalia registrada";"2018-11-28"
342;3;3;"Descricao da anomalia registrada";"2019-05-20"
343;1;3;"Descricao da anomalia registrada";"2019-01-09"
344;1;5;"Descricao da anomalia registrada";"2015-08-27"
345;3;2;"Descricao da anomalia registrada";"2020-06-22"
346;1;2;"Descricao da anomalia registrada";"2021-01-06"
347;3;2;"Descricao da anomalia registrada";"2016-04-29"
348;1;5;"Descricao da anomalia registrada";"2015-12-31"
349;1;1;"Descricao da anomalia registrada";"2016-09-21"
350;1;1;"Descricao da anomalia registrada";"2019-05-11"
351;4;1;"Descricao da anomalia registrada";"2021-07-15"
352;4;4;"Descricao da anomalia registrada";"2018-10-10"
353;1;3;"Descricao da anomalia registrada";"2021-06-11"
354;3;1;"Descricao da anomalia registrada";"2018-05-31"
355;1;3;"Descricao da anomalia registrada";"2016-12-29"
356;3;2;"Descricao da anomalia registrada";"2016-05-29"
357;1;2;"Descricao da anomalia registrada";"2019-04-20"
358;1;2;"Descricao da anomalia registrada";"2020-07-07"
359;1;4;"Descricao da anomalia registrada";"2018-06-28"
360;1;3;"Descricao da anomalia registrada";"2020-03-10"
361;1;4;"Descricao da anomalia registrada";"2018-07-02"
362;1;4;"Descricao da anomalia registrada";"2017-10-07"
363;1;3;"Descricao da anomalia registrada";"2019-02-19"
364;1;1;"Descricao da anomalia registrada";"2015-08-20"
365;1;1;"Descricao da anomalia registrada";"2021-06-17"
366;3;3;"Descricao da anomalia registrada";"2020-08-02"
367;1;1;"Descricao da anomalia registrada";"2018-02-23"
368;1;4;"Descricao da anomalia registrada";"2020-05-26"
369;1;6;"Descricao da anomalia registrada";"2020-12-04"
370;1;1;"Descricao da anomalia registrada";"2019-12-19"
371;1;4;"Descricao da anomalia registrada";"2021-06-07"
372;3;6;"Descricao da anomalia registrada";"2016-07-12"
373;3;5;"Descricao da anomalia registrada";"2017-03-03"
374;4;3;"Descricao da anomalia registrada";"2018-04-19"
375;1;4;"Descricao da anomalia registrada";"2017-11-08"
376;3;4;"Descricao da anomalia registrada";"2019-04-24"
377;1;2;"Descricao da anomalia registrada";"2015-10-28"
378;1;5;"Descricao da anomalia registrada";"2018-03-29"
379;1;5;"Descricao da anomalia registrada";"2019-10-07"
380;4;1;"Descricao da anomalia registrada";"2016-04-02"
381;3;5;"Descricao da anomalia registrada";"2020-12-31"
382;1;2;"Descricao da anomalia registrada";"2016-03-21"
383;3;4;"Descricao da anomalia registrada";"2019-10-07"
384;1;3;"Descricao da anomalia registrada";"2017-05-20"
385;3;6;"Descricao da anomalia registrada";"2020-10-31"
386;1;3;"Descricao da anomalia registrada";"2016-03-26"
387;3;2;"Descricao da anomalia registrada";"2018-01-31"
388;3;6;"Descricao da anomalia registrada";"2016-10-29"
389;4;6;"Descricao da anomalia registrada";"2021-07-22"
390;1;1;"Descricao da anomalia registrada";"2016-07-22"
391;1;1;"Descricao da anomalia registrada";"2016-09-27"
392;1;3;"Descricao da anomalia registrada";"2019-08-14"
393;3;4;"Descricao da anomalia registrada";"2016-02-09"
394;1;1;"Descricao da anomalia registrada";"2018-01-11"
395;3;2;"Descricao da anomalia registrada";"2015-06-30"
396;3;5;"Descricao da anomalia registrada";"2018-05-05"
397;1;1;"Descricao da anomalia registrada";"2020-04-12"
398;1;5;"Descricao da anomalia registrada";"2020-10-26"
399;1;1;"Descricao da anomalia registrada";"2016-06-24"
400;1;4;"Descricao da anomalia registrada";"2017-05-08"
401;3;3;"Descricao da anomalia registrada";"2018-05-11"
402;3;4;"Descricao da anomalia registrada";"2021-05-23"
403;3;5;"Descricao da anomalia registrada";"2015-09-28"
404;1;5;"Descricao da anomalia registrada";"2017-08-19"
405;1;1;"Descricao da anomalia registrada";"2016-05-23"
406;1;4;"Descricao da anomalia registrada";"2018-02-25"
407;1;4;"Descricao da anomalia registrada";"2017-12-21"
408;3;2;"Descricao da anomalia registrada";"2015-09-05"
409;1;5;"Descricao da anomalia registrada";"2016-08-24"
410;1;5;"Descricao da anomalia registrada";"2020-02-12"
411;1;2;"Descricao da anomalia registrada";"2019-11-14"
412;5;2;"Descricao da anomalia registrada";"2018-05-27"
413;4;5;"Descricao da anomalia registrada";"2018-07-14"
414;4;6;"Descricao da anomalia registrada";"2018-06-02"
415;1;6;"Descricao da anomalia registrada";"2018-09-28"
416;3;6;"Descricao da anomalia registrada";"2020-05-21"
417;1;5;"Descricao da anomalia registrada";"2016-10-05"
418;1;1;"Descricao da anomalia registrada";"2019-08-09"
419;1;1;"Descricao da anomalia registrada";"2020-01-25"
420;1;3;"Descricao da anomalia registrada";"2016-10-07"
421;3;4;"Descricao da anomalia registrada";"2018-04-04"
422;3;4;"Descricao da anomalia registrada";"2020-02-12"
423;1;5;"Descricao da anomalia registrada";"2016-01-25"
424;3;1;"Descricao da anomalia registrada";"2019-10-06"
425;1;6;"Descricao da anomalia registrada";"2021-03-15"
426;1;6;"Descricao da anomalia registrada";"2019-01-24"
427;3;4;"Descricao da anomalia registrada";"2015-09-09"
428;3;5;"Descricao da anomalia registrada";"2020-07-20"
429;3;5;"Descricao da anomalia registrada";"2017-12-07"
430;1;4;"Descricao da anomalia registrada";"2017-02-27"
431;1;2;"Descricao da anomalia registrada";"2018-10-01"
432;1;4;"Descricao da anomalia registrada";"2016-05-11"
433;1;3;"Descricao da anomalia registrada";"2019-01-21"
434;3;4;"Descricao da anomalia registrada";"2016-11-04"
435;5;2;"Descricao da anomalia registrada";"2020-08-06"
436;1;5;"Descricao da anomalia registrada";"2021-04-30"
437;3;4;"Descricao da anomalia registrada";"2019-01-28"
438;3;5;"Descricao da anomalia registrada";"2020-11-13"
439;4;6;"Descricao da anomalia registrada";"2017-01-27"
440;4;3;"Descricao da anomalia registrada";"2016-06-05"
441;1;2;"Descricao da anomalia registrada";"2021-04-03"
442;3;1;"Descricao da anomalia registrada";"2018-06-03"
443;4;3;"Descricao da anomalia registrada";"2020-10-27"
444;1;4;"Descricao da anomalia registrada";"2016-10-27"
445;1;6;"Descricao da anomalia registrada";"2018-03-04"
446;1;4;"Descricao da anomalia registrada";"2017-08-03"
447;1;5;"Descricao da anomalia registrada";"2018-04-01"
448;1;1;"Descricao da anomalia registrada";"2019-02-01"
449;3;3;"Descricao da anomalia registrada";"2020-04-15"
450;1;4;"Descricao da anomalia registrada";"2015-08-15"
451;1;4;"Descricao da anomalia registrada";"2020-04-12"
452;1;2;"Descricao da anomalia registrada";"2016-04-26"
453;3;6;"Descricao da anomalia registrada";"2020-01-16"
454;1;4;"Descricao da anomalia registrada";"2020-11-12"
455;1;3;"Descricao da anomalia registrada";"2020-12-21"
456;1;5;"Descricao da anomalia registrada";"2019-01-21"
457;4;1;"Descricao da anomalia registrada";"2018-12-28"
458;1;2;"Descricao da anomalia registrada";"2017-06-29"
459;1;5;"Descricao da anomalia registrada";"2018-05-21"
460;1;1;"Descricao da anomalia registrada";"2016-03-24"
461;1;3;"Descricao da anomalia registrada";"2016-07-03"
462;1;4;"Descricao da anomalia registrada";"2019-12-07"
463;1;6;"Descricao da anomalia registrada";"2018-08-01"
464;3;5;"Descricao da anomalia registrada";"2016-10-18"
465;4;4;"Descricao da anomalia registrada";"2021-05-24"
466;4;1;"Descricao da anomalia registrada";"2018-11-20"
467;1;1;"Descricao da anomalia registrada";"2019-06-18"
468;1;1;"Descricao da anomalia registrada";"2017-05-19"
469;1;4;"Descricao da anomalia registrada";"2020-03-14"
470;1;2;"Descricao da anomalia registrada";"2019-11-21"
471;1;1;"Descricao da anomalia registrada";"2020-09-16"
472;1;5;"Descricao da anomalia registrada";"2018-08-20"
473;3;4;"Descricao da anomalia registrada";"2018-12-17"
474;1;3;"Descricao da anomalia registrada";"2018-04-06"
475;5;6;"Descricao da anomalia registrada";"2016-06-27"
476;3;6;"Descricao da anomalia registrada";"2016-05-31"
